latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
63.427464,10.403427,12.0,7200,Europe/Berlin,GMT+2

time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),rain (mm),showers (mm),snowfall (cm),snow_depth (m),pressure_msl (hPa),cloud_cover (%),visibility (m),wind_gusts_10m (km/h),temperature_80m (°C),wind_direction_10m (°),wind_speed_10m (km/h)
2025-01-01T00:00,-6.1,75,-10.0,0.00,0.00,0.00,0.00,0.10,999.6,41,28580.00,9.4,-5.3,160,4.0
2025-01-01T01:00,-6.4,74,-10.1,0.00,0.00,0.00,0.00,0.10,999.2,58,32060.00,6.5,-5.5,129,2.5
2025-01-01T02:00,-6.9,70,-11.2,0.00,0.00,0.00,0.00,0.10,998.6,23,31680.00,10.4,-5.6,162,6.5
2025-01-01T03:00,-7.5,69,-12.1,0.00,0.00,0.00,0.00,0.10,997.8,3,28980.00,12.2,-5.6,184,7.6
2025-01-01T04:00,-7.9,65,-12.5,0.00,0.00,0.00,0.00,0.10,997.3,11,26260.00,12.2,-5.6,160,7.2
2025-01-01T05:00,-8.9,67,-13.7,0.00,0.00,0.00,0.00,0.10,997.1,38,27100.00,14.4,-6.4,173,9.0
2025-01-01T06:00,-9.1,69,-14.1,0.00,0.00,0.00,0.00,0.10,996.2,80,25180.00,17.3,-6.4,179,10.4
2025-01-01T07:00,-9.2,68,-14.4,0.00,0.00,0.00,0.00,0.10,995.5,57,26720.00,18.7,-6.5,182,11.5
2025-01-01T08:00,-9.7,71,-15.1,0.00,0.00,0.00,0.00,0.09,995.5,0,35280.00,20.9,-7.5,182,13.0
2025-01-01T09:00,-9.9,71,-15.5,0.00,0.00,0.00,0.00,0.09,995.3,0,34660.00,23.4,-8.0,188,14.0
2025-01-01T10:00,-10.4,71,-15.8,0.00,0.00,0.00,0.00,0.09,995.3,1,36980.00,23.4,-8.1,184,12.2
2025-01-01T11:00,-11.0,69,-16.6,0.00,0.00,0.00,0.00,0.10,995.9,7,38880.00,22.7,-8.5,185,13.7
2025-01-01T12:00,-10.7,69,-16.3,0.00,0.00,0.00,0.00,0.10,995.6,14,41120.00,23.8,-8.9,185,14.0
2025-01-01T13:00,-10.8,68,-16.6,0.00,0.00,0.00,0.00,0.10,995.0,47,46160.00,25.9,-8.7,192,15.1
2025-01-01T14:00,-10.2,68,-15.8,0.00,0.00,0.00,0.00,0.10,995.2,77,46440.00,25.6,-8.5,186,14.0
2025-01-01T15:00,-9.7,66,-15.5,0.00,0.00,0.00,0.00,0.10,994.7,87,46140.00,25.9,-8.4,192,15.1
2025-01-01T16:00,-9.4,67,-15.5,0.00,0.00,0.00,0.00,0.10,994.0,91,49480.00,29.9,-8.0,191,17.3
2025-01-01T17:00,-8.9,69,-14.7,0.00,0.00,0.00,0.00,0.10,994.5,93,51120.00,29.9,-7.6,184,15.8
2025-01-01T18:00,-8.6,71,-14.5,0.00,0.00,0.00,0.00,0.10,994.3,97,53600.00,28.4,-7.2,188,16.6
2025-01-01T19:00,-8.5,78,-14.5,0.00,0.00,0.00,0.00,0.10,994.2,83,58000.00,30.6,-6.7,192,18.0
2025-01-01T20:00,-8.0,83,-13.7,0.00,0.00,0.00,0.00,0.09,994.1,100,54360.00,30.2,-6.6,190,16.6
2025-01-01T21:00,-7.3,85,-13.1,0.30,0.00,0.00,0.21,0.09,994.0,86,53080.00,32.0,-5.9,192,18.0
2025-01-01T22:00,-7.2,87,-13.0,0.00,0.00,0.00,0.00,0.09,993.7,87,51720.00,32.8,-5.1,194,18.4
