time,temperature,humidity,wind_speed_mps,cloud_cover,pressure
2025-05-19 15:00:00+00:00,15.9,79.0,3.8,15.9,1021.2
2025-05-19 16:00:00+00:00,15.0,81.0,3.7,37.6,1021.0
2025-05-19 17:00:00+00:00,14.1,81.0,3.6,58.1,1020.9
2025-05-19 18:00:00+00:00,12.7,83.0,3.7,76.8,1021.0
2025-05-19 19:00:00+00:00,11.9,84.0,3.2,97.8,1020.6
2025-05-19 20:00:00+00:00,11.5,85.0,3.1,100.0,1020.2
2025-05-19 21:00:00+00:00,10.9,87.0,3.4,100.0,1020.2
2025-05-19 22:00:00+00:00,10.6,89.0,3.3,100.0,1019.9
2025-05-19 23:00:00+00:00,10.2,92.0,3.9,100.0,1019.8
2025-05-20 00:00:00+00:00,9.7,93.0,3.8,100.0,1019.5
2025-05-20 01:00:00+00:00,9.2,92.0,3.5,100.0,1019.1
2025-05-20 02:00:00+00:00,8.8,92.0,3.9,100.0,1019.1
2025-05-20 03:00:00+00:00,8.6,90.0,3.8,100.0,1019.0
2025-05-20 04:00:00+00:00,8.3,88.0,3.8,100.0,1018.9
2025-05-20 05:00:00+00:00,8.2,84.0,3.7,99.2,1019.2
2025-05-20 06:00:00+00:00,8.4,80.0,3.8,98.5,1019.4
2025-05-20 07:00:00+00:00,8.9,77.0,4.1,95.0,1019.4
2025-05-20 08:00:00+00:00,9.4,73.0,4.4,95.2,1019.4
2025-05-20 09:00:00+00:00,10.0,70.0,4.3,92.8,1019.4
2025-05-20 10:00:00+00:00,10.8,66.0,4.2,93.7,1019.3
2025-05-20 11:00:00+00:00,11.7,65.0,4.4,94.3,1019.1
2025-05-20 12:00:00+00:00,11.9,64.0,4.5,87.8,1019.0
2025-05-20 13:00:00+00:00,12.3,59.0,4.4,87.3,1018.9
2025-05-20 14:00:00+00:00,11.7,59.0,4.9,75.3,1018.8
2025-05-20 15:00:00+00:00,11.7,57.0,4.6,83.0,1018.6
2025-05-20 16:00:00+00:00,10.9,59.0,4.9,85.2,1018.5
2025-05-20 17:00:00+00:00,10.2,63.0,5.0,71.4,1018.6
2025-05-20 18:00:00+00:00,9.2,66.0,4.6,52.9,1018.4
2025-05-20 19:00:00+00:00,8.6,69.0,4.4,41.7,1018.1
2025-05-20 20:00:00+00:00,7.9,74.0,4.3,54.3,1017.8
2025-05-20 21:00:00+00:00,7.3,76.0,3.7,81.0,1017.6
2025-05-20 22:00:00+00:00,7.0,78.0,3.7,78.0,1017.0
2025-05-20 23:00:00+00:00,6.8,81.0,3.2,92.2,1016.5
