time,temperature,humidity,wind_speed_mps,cloud_cover,pressure
2025-04-16 09:00:00+00:00,13.2,67.0,3.3,91.1,1007.9
2025-04-16 10:00:00+00:00,14.9,65.0,3.2,89.4,1007.4
2025-04-16 11:00:00+00:00,16.5,62.0,3.6,91.5,1006.5
2025-04-16 12:00:00+00:00,17.6,61.0,4.4,91.3,1005.9
2025-04-16 13:00:00+00:00,17.9,60.0,5.5,98.7,1005.5
2025-04-16 14:00:00+00:00,16.8,61.0,6.4,100.0,1005.6
2025-04-16 15:00:00+00:00,14.7,77.0,5.0,100.0,1006.1
2025-04-16 16:00:00+00:00,13.5,85.0,4.7,100.0,1006.1
2025-04-16 17:00:00+00:00,14.0,80.0,4.6,100.0,1006.1
2025-04-16 18:00:00+00:00,13.5,77.0,3.0,73.8,1006.2
2025-04-16 19:00:00+00:00,12.4,79.0,2.9,0.0,1006.8
2025-04-16 20:00:00+00:00,11.6,78.0,3.5,0.1,1007.4
2025-04-16 21:00:00+00:00,11.0,78.0,3.5,1.1,1007.9
2025-04-16 22:00:00+00:00,10.1,79.0,2.4,28.4,1008.5
2025-04-16 23:00:00+00:00,9.3,84.0,0.5,68.5,1009.3
2025-04-17 00:00:00+00:00,8.6,84.0,1.6,92.7,1009.8
2025-04-17 01:00:00+00:00,8.3,85.0,1.5,96.0,1010.0
2025-04-17 02:00:00+00:00,7.8,85.0,1.3,95.3,1009.9
2025-04-17 03:00:00+00:00,7.3,86.0,1.0,98.2,1009.6
2025-04-17 04:00:00+00:00,6.8,88.0,0.8,98.1,1009.7
2025-04-17 05:00:00+00:00,7.1,92.0,0.7,85.1,1009.7
2025-04-17 06:00:00+00:00,8.6,90.0,0.6,87.0,1009.8
2025-04-17 07:00:00+00:00,9.5,87.0,1.0,98.2,1009.4
2025-04-17 08:00:00+00:00,10.2,83.0,1.6,99.6,1009.2
2025-04-17 09:00:00+00:00,10.9,80.0,1.4,99.8,1008.9
